timestamp, name, pstate, temperature.gpu, memory.total [MiB], memory.free [MiB], memory.used [MiB], utilization.memory [%], utilization.gpu [%], power.draw [W]
2024/04/30 03:14:58.739, NVIDIA RTX A6000, P3, 67, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 84.81 W
2024/04/30 03:14:58.740, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.14 W
2024/04/30 03:14:58.741, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 17.88 W
2024/04/30 03:14:58.742, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 27.03 W
2024/04/30 03:14:58.742, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 20.84 W
2024/04/30 03:14:58.743, NVIDIA RTX A6000, P8, 26, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 18.30 W
2024/04/30 03:14:58.745, NVIDIA RTX A6000, P8, 29, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 24.08 W
2024/04/30 03:14:58.746, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 26.65 W
2024/04/30 03:14:59.747, NVIDIA RTX A6000, P3, 66, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 52.77 W
2024/04/30 03:14:59.747, NVIDIA RTX A6000, P8, 27, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 21.08 W
2024/04/30 03:14:59.748, NVIDIA RTX A6000, P8, 28, 49140 MiB, 48666 MiB, 10 MiB, 0 %, 0 %, 16.72 W
